x           y           stackinginfo
-1.66228707768209e-09 -2.25734795318554e-11 0
1.41323073781876 0.143280988721521 3
1.995832544349 1.43847710885923 0
3.40919282796397 1.5804319725023 3
3.99231843847481 2.87523822334328 1
5.40568525269375 3.01720169735379 1
5.98911657136002 4.31199466656913 1
7.40238212722834 4.45533719212444 1
7.98587489089549 5.7503854122069 1
9.39903899958978 5.89470822239514 1
9.9829126695485 7.1896717931907 3
11.3960943203972 7.33347813027137 5
11.9805164607276 8.62807483483425 2
13.3939982061567 8.76974258806796 2
13.9778722114266 10.064417305468 2
15.3913182873175 10.2050470417616 5
15.9735279560231 11.5005069438672 1
17.3866194042728 11.6419840405586 1
17.9680308973335 12.9381215613658 1
19.3808885869959 13.0806792308309 3
19.9624846496783 14.3767725725052 4
21.3753758412589 14.5190951064765 4
21.9583745242114 15.8143466370714 2
23.3717269409506 15.9554058585492 2
23.9564824477047 17.249864712562 2
25.369988296799 17.3911673946771 2
25.9547815887274 18.6857371218718 2
27.3679972361354 18.8286909126594 4
27.9515143144982 20.1239266641252 0
29.3646641768001 20.267953907467 0
29.9472454352077 21.5635208021692 0
31.3604541263661 21.7070417195281 0
31.9429830264465 23.0023358172821 0
33.3563157499753 23.1445029033627 0
33.9393320011801 24.4393704716096 3
35.3527141721545 24.5811799522386 1
35.9361560371875 25.8759179935246 1
37.3494459755815 26.0189512472672 1
37.9329335264138 27.3139520753183 1
39.3461268987283 27.458175286385 1
39.9299080439318 28.7531807189038 1
41.3430562156557 28.8972963818609 5
41.9273879619575 30.1919636880713 4
43.3408147573643 30.3341017923352 2
43.9249344962819 31.6286895529328 2
45.3384284892723 31.7693769990186 2
45.9209408635108 33.0646518338984 1
47.3341057611111 33.2058734103226 1
47.9155937134483 34.5019165515139 1
49.3284832014417 34.6443152242096 3
49.9099594943072 35.9404885408164 5
51.3228033879836 36.0830252628304 4
51.9054261732666 37.3784868165033 2
53.3186740142795 37.5197507757321 2
53.9031553774477 38.8143172045645 2
55.3166902428791 38.9553813326603 2
55.9016489447569 40.2498519848512 2
57.314918397844 40.3924087714368 2
57.8986926935781 41.6875214183944 4
59.3118357396994 41.8314180381296 0
59.894517642026 43.1269822227879 0
61.3077065431402 43.2707027928877 0
