x           y           stackinginfo
0.0 0.0 0
1.372505 0.36573 1
1.74196994295101 1.73695357560322 1
3.11453477090334 2.10280516727352 1
3.48396147438857 3.47437785784581 3
4.85656355896033 3.84036618039716 5
5.22614792757028 5.21167823577923 2
6.59854826382083 5.57722080393425 1
6.96799439385282 6.94893432638442 2
8.34038583300392 7.31455909516514 2
8.71025584514996 8.68597501449038 5
10.0827906614403 9.05150613619945 4
10.4520968741149 10.4232426272173 0
11.8243700554717 10.7890783682991 0
12.1940256300045 12.1603858431516 1
13.5666847052813 12.5261368556519 2
13.9362475965258 13.8976697328776 0
15.3088277362667 14.2637983916138 0
15.678152607167 15.6350391167577 3
17.0506197163267 16.0008461072283 5
17.4200383645956 17.3723430829856 1
18.7925942898269 17.7382272143272 1
19.1624588442623 19.109610348652 2
20.5350701850256 19.4750043468768 1
20.9044280940024 20.8466747062445 1
22.2766035110879 21.2124042410675 4
22.6461364437929 22.5839863320448 2
24.0187765625932 22.9493742104426 2
24.3884079918096 24.3209924385701 3
25.7608661240692 24.6867843128518 0
26.1302665702808 26.0582638233595 0
27.5027711588324 26.4240632177768 1
27.8723900084343 27.7954035643667 2
29.2450349985519 28.1614102601399 3
29.614455461309 29.5328353248897 0
30.9871120064103 29.8984755442321 2
31.3564499577484 31.2698466758305 5
32.7287959423997 31.6357028373016 2
33.0983763173152 33.0073357548239 1
34.470978139297 33.3729276237116 5
34.8405494155664 34.7444576386316 1
36.2128885169284 35.1099642906456 0
36.5822042974733 36.4816962090241 4
37.9546413510602 36.8471777335338 1
38.3245137508144 38.2185489894913 2
39.6971146927659 38.5844207520358 0
40.0665562981127 39.9560282786013 0
41.439058740501 40.3218673217072 0
41.8085622361791 41.6930893445423 1
43.1811830612329 42.0589122315454 1
43.5505765852391 43.4304738719339 3
44.9232016507574 43.796428656584 2
45.2926801904589 45.1677161237224 2
46.6650590317442 45.533313686612 1
47.0345485565628 46.9050061246297 2
48.4070144994033 47.2706162029863 2
48.7769020156994 48.6420287301435 2
50.1494054012758 49.0075236312349 2
21.8543970357782 0.731373846951882 0
23.2266230527276 1.09719154486774 0
23.5962815312507 2.4685249081566 1
24.9689447038199 2.83427161360613 2
25.3385568800847 4.20583138941978 0
26.7111287401532 4.57191200141731 0
27.0805149646915 5.94313447682553 3
28.4529949422949 6.30896955167653 5
28.8224405637524 7.68044983897349 1
30.1950207289835 8.04641198446877 1
30.5648279650425 9.41775217219673 2
31.9374260682904 9.78317639055833 1
32.3067871519471 11.1548404511599 5
33.6789762749738 11.5206013506394 4
34.048567705974 12.8921683424411 2
35.4211970315545 13.2575614654603 2
35.7907233267385 14.6292161309142 3
37.1631316204483 14.9949098857546 0
37.5325760001425 16.3663893149395 3
38.9051131400157 16.7321025700587 1
39.2747742702862 18.103478350179 2
40.647406503469 18.4695238371761 3
41.0167692902602 19.8409389680542 0
42.3893811391298 20.2066247143295 2
42.758704225479 21.577983200331 1
44.1311206903714 21.943875038452 2
44.5007385623862 23.3154668411645 1
45.8733571838893 23.6810901895129 5
46.2429148111809 25.052613187258 1
47.6152150752674 25.4181642165528 0
47.9845980000414 26.7898844143248 2
49.3570893950973 27.1552993471956 1
49.7269677138714 28.5267088542687 2
51.0995280320371 28.8925310465381 0
51.4688978961812 30.2641730193154 0
52.8413493508634 30.6300283150925 3
53.2109084104928 32.0012680791217 1
54.5835680701908 32.3670955699825 1
54.9529456454858 33.7386492877319 0
56.3255954126944 34.1045443402647 2
56.6949934990893 35.4758087055521 2
58.0673643943055 35.8414686462045 1
58.43687829318 37.2131405261929 1
59.8093982022504 37.5787838001999 2
60.1792759857816 38.9501927208361 2
61.5517522841537 39.3156593339849 3
61.9209430295742 40.6874315448178 4
63.2931447756441 41.0532261865246 0
63.6628244865523 42.4245807623183 1
65.0354781567478 42.7903261030279 2
65.4051181620459 44.1619136229056 0
66.7776683811436 44.5279353638192 0
67.1471391468014 45.8991446016744 3
68.5196494863756 46.2649860486949 1
68.8891038591769 47.6364607170738 3
70.2616896709344 48.0025018796745 1
70.6313904343562 49.3738082880354 4
43.3397283656428 0.0913738858792068 1
43.7090911400559 1.46302756567428 5
45.0813260091439 1.82879294387856 2
45.4509940881304 3.20033560984394 5
46.8236094483166 3.56572748995079 2
47.1930386544228 4.93740801527586 3
48.565391061293 5.30303716291175 0
48.9348727588844 6.67452024915625 3
50.3074485450462 7.04014061350857 1
50.6771493120514 8.41155968202894 4
52.0497620046583 8.77763786565095 0
52.4190816915168 10.1490488479537 0
53.7916422701028 10.5148021698274 2
54.1609898511446 11.8861479302126 5
55.5334819015732 12.2520628079655 1
55.9031250769703 13.6236081005336 3
57.275764932979 13.9892374078316 2
57.645315896599 15.360745468578 1
59.0175807010713 15.7263577696405 0
59.3870093840511 17.0980689882677 2
60.7595494051333 17.4634500389229 1
61.129391413666 18.8349015603161 5
62.501907595613 19.2006460960998 0
62.8711987602024 20.5723204669019 0
64.2436142755247 20.9381610556667 3
64.6132336474903 22.3094199566978 2
65.9859124719661 22.6752651636065 5
66.3552954560848 24.0468097210359 0
67.7279625197762 24.4126339700131 4
68.0973132402246 25.7838785955221 5
69.4696949380198 26.1496004056193 5
69.8392153434491 27.521251463576 1
71.2117678264951 27.8869674099923 5
71.5816105721024 29.2583705442353 2
72.9540634579198 29.6238225947459 3
73.3232721608328 30.9955963966019 4
74.6954782899794 31.3613553614922 2
75.0652026632502 32.7327256784308 2
76.4378363882432 33.0984610578526 2
76.8074636789933 34.4700788133797 0
20.8515063259496 34.8360452432478 0
21.2210581579486 36.2072511530588 3
22.5936095418916 36.5730831057995 1
22.9630567542443 37.9445636259713 3
24.3356415626447 38.310664264096 3
24.7052073513287 39.6819460909218 4
26.0777411323499 40.0474879490922 1
26.4471056876795 41.4191271017791 5
27.8194137244966 41.7848802078543 2
28.1891615649327 43.1563942869327 5
29.5617648189404 43.5217781156936 5
29.9311117058737 44.8934805269304 3
31.3034115189252 45.2590664536121 0
31.6729170342455 46.6305550378525 5
33.0455302920975 46.9960932884614 1
33.4152725624683 48.3675578714898 4
34.7878580962125 48.7336572248462 0
6.49293010180708 0.457156829518584 0
7.86544435272983 0.822985935600384 1
8.2348453209024 2.19432124838642 5
9.60740136582127 2.56026193415595 1
9.97705123649766 3.93175793296418 3
11.3497134080997 4.29737622267885 2
11.7192466842698 5.66886568859804 1
13.0914869121067 6.0345432635618 4
13.4609452723781 7.40624580117055 2
14.8335189312723 7.77162859486369 5
15.2032858009672 9.14312307608799 5
16.5757589587026 9.50877560943272 0
16.9449924681305 10.8804739070568 0
18.3173915580979 11.2462591186772 3
