x           y           stackinginfo
0.0 0.0 0
1.420397 0.0 4
2.13077417606279 1.23022096148196 1
3.55102425437725 1.23030976063155 0
4.26115385532722 2.46013922046639 0
5.68172299726821 2.46013299030555 4
6.39175461416422 3.69029102558291 5
7.8122033016011 3.69045023781008 2
8.52230400938795 4.9203051555722 5
9.94280595059062 4.92037664615286 1
10.6530422338006 6.15058945131483 4
12.0734794190361 6.15052925729246 1
12.7837623153272 7.38070452399537 1
14.2039353950527 7.38058654557076 2
14.9142621623726 8.61074550581807 0
16.3346870261184 8.61057453694464 4
17.0450046842793 9.84086739291061 1
18.4652124476848 9.84094258719845 0
19.1754024465132 11.0708452400459 0
20.5959633351928 11.0708449481907 4
21.3060251964342 12.3010261470168 5
22.7264238706837 12.3011900852304 4
23.4364653908724 13.5310076205558 5
24.8570095389484 13.531090261701 1
25.5671642680652 14.7612843971032 5
26.9876346800108 14.7613166011276 2
27.6979012338271 15.9914018712887 1
29.1181314137762 15.9912767782429 2
29.8284496620316 17.22147094471 0
31.2488478247219 17.2212565349552 5
31.9591556658485 18.4515586128818 1
33.3793315325311 18.451591709669 0
34.0895987721074 19.6815690964321 0
35.5101453092703 19.6815589767845 4
36.2202958030672 20.9117637442391 1
37.6406411763212 20.9119059487287 0
38.3506767039452 22.1416975487456 5
39.7712371685626 22.141733073344 1
40.4813385038285 23.3718854876375 5
41.9018196511718 23.3720059403871 2
42.6120272559333 24.6020102185577 5
44.0323444181685 24.6019376933027 2
44.7426370651314 25.832160454381 0
46.1630263510536 25.8319550895802 1
46.8733063845431 27.0622498701561 1
48.2934584903185 27.0622292773309 0
49.0037566456778 28.292283593759 0
50.4242715782872 28.2922429434325 4
51.134502362622 29.5224847610901 1
52.5547937199762 29.5226075738138 0
53.2648322461525 30.75241500554 4
54.6853971019904 30.7524243578068 5
55.3954154814384 31.9825868229728 5
56.8158947099247 31.982728308156 2
57.5260502863146 33.2126494013501 5
58.9464692276382 33.2126540520492 2
59.6567413255851 34.4428814459129 0
61.0771438422142 34.4427295306004 1
61.7874133926251 35.6729818119913 1
63.2075573569273 35.672898707395 1
23.4364191391271 35.6730737900751 2
24.8569986077232 35.6730361230885 1
4.26131118172193 3.59760356182432e-05 4
5.68153064615508 4.70063708817811e-05 1
6.39179761449065 1.23031569768982 2
7.81206948547294 1.23020446825383 5
8.52249597279536 2.46020468610366 0
9.94279024729184 2.46010198128656 0
10.6530901585985 3.69036184891449 2
12.0734421355487 3.69040542196444 1
12.7836235133596 4.92036562022711 4
14.2041855052704 4.92031070227727 0
14.9142443717368 6.15035471302958 1
16.3346702287011 6.15057915579145 5
17.0447229528708 7.38062690208891 2
18.4653311010859 7.38063694880724 1
19.17550738443 8.61065288241365 2
20.5957892463708 8.61075519343719 1
21.305993952062 9.84102190859933 5
22.726311466533 9.84093886111992 2
23.4366978874093 11.0709447579788 0
24.8569194010301 11.0708582918434 0
25.5672330498899 12.3011378724703 2
26.9875457285601 12.3011194197545 1
27.6978299596229 13.5310963229153 0
29.1183469237169 13.5310042876596 0
29.8284546983657 14.7610947707892 1
31.2488685239195 14.7612792980566 5
31.9589010383696 15.9912734977406 2
33.3795194532146 15.9912785312728 3
34.0896272307019 17.2212920307359 2
35.5099807480059 17.2214649494158 1
36.2201417384067 18.4517030219005 1
37.6405399430077 18.4516438994268 2
38.3508907872808 19.6816468653915 0
39.7710702962754 19.681566640736 3
40.4813916027108 20.9118395881339 2
41.9016660207508 20.911767389127 1
42.6120500840727 22.1417519920695 0
44.0325003048155 22.1416482316861 0
44.7426703634664 23.3718070181901 5
46.1630660544555 23.3719535585772 1
46.8730951506391 24.601921478349 2
48.2937036303704 24.6019172515431 3
49.0037488955897 25.8319337595409 2
50.4241527013078 25.8321606675286 2
51.134264070605 27.0623502426137 1
52.5547556959093 27.0623279795436 1
53.2650494993575 28.2923391995333 4
54.6852266780723 28.2922990153202 3
55.395509349174 29.5225806182251 2
56.8157651398023 29.5224723016924 5
57.5261788026375 30.7524752867751 0
58.9465535834127 30.7523613202492 0
59.6567949163655 31.9825831799895 2
18.4652590020953 31.9826815482072 1
61.7872529619893 33.2126392045803 4
20.5959292974141 33.2126160948462 0
21.3059527315218 34.4426399651279 2
22.7263793566199 34.4429201666996 2
25.5670972132003 34.4428587734727 0
