0.0 0.0011129186885561308 -0.0011129135686628693
0.1 0.037200944847830465 -0.05410469127022912
0.2 0.07333063936093481 -0.1099757223264571
0.3 0.10190008940865274 -0.1570178221312781
0.396 0.12309655605571967 -0.19882798204714583
0.5 0.13756628519999292 -0.23414992716829133
0.558 0.14670989245183996 -0.2578345017162653
0.769 0.16299947352004734 -0.31355070907237287
0.915 0.16658466148640202 -0.335778499692223
1.381 0.16602976158948135 -0.3573085360649819
1.53 0.16212853208624622 -0.3517502913369606
2.06 0.14378741433932155 -0.3182212705782715
2.558 0.12481579036965673 -0.28117529383289214 
3.071 0.10756049595515017 -0.2463888141773254
