-74.87796885200001 -73.559570323  0.06534154765427154 0.4567095391533025 -0.2889011102524849
-72.978114852 -71.99651432299999  0.04906728441532512 0.4784339583532169 -0.2632956321647527
-71.078261852 -70.433459323  0.020030977220972475 0.48998282408799243 -0.2215376706599665
-69.17840885200002 -68.870404323  -0.01660880891987164 0.4946371425137877 -0.16823954179931225
-67.27855485200001 -67.307349323  -0.051622344309981354 0.4972060113907615 -0.11295859356652473
-65.378701852 -65.74429432299999  -0.0757413947797136 0.5014798083755448 -0.06656262340665935
-63.478848852000006 -64.181239323  -0.0843328595277036 0.509002672510326 -0.03636313506751656
-61.578995852 -62.618183323  -0.0792601786587538 0.5187568137621554 -0.023282088508042042
-59.679141851999994 -61.055128323  -0.06699480817479185 0.5266075213339283 -0.02312233134289408
-57.779288852000015 -59.49207332299999  -0.05553610900541797 0.5273275555227679 -0.029284888968852306
-55.87943585200001 -57.929018322999994  -0.0514298858529527 0.5166920999103788 -0.035061351164617754
-53.979581852 -56.365963322999995  -0.05799656000025 0.4934546552589454 -0.0360846228550595
-52.079728851999995 -54.802908323  -0.07536050892428463 0.4593555054934443 -0.030562109867997303
-50.179875852000016 -53.239852322999994  -0.1013992800351102 0.4179639643889322 -0.01875019343532209
-48.28002185200001 -51.676797322999995  -0.13331010507816815 0.3729262479442236 -0.0015821492270707402
-46.380168852000004 -50.113742323  -0.168300555448883 0.3276067023868029 0.019713258520523157
-44.480315852 -48.550687323  -0.20376053760938861 0.28457972957915156 0.043836961080088686
-42.58046185199999 -46.98763232299999  -0.23735777615822246 0.24559961852172185 0.06962037344506818
-40.68060885200001 -45.424577322999994  -0.26771831189508594 0.21125963087165756 0.09661074932422042
-38.780755852000006 -43.86152132299999  -0.293882948523257 0.1817364479826486 0.12439617029220905
-36.880901852 -42.298466323  -0.3151150041241605 0.15668803367051298 0.15287667914672265
-34.981048851999994 -40.735411322999994  -0.3311658076695706 0.13577027653035534 0.1819434935611376
-33.081195852000015 -39.17235632299999  -0.3418724023540359 0.11846676364693903 0.21140710035622579
-31.18134185200001 -37.609301323  -0.34710502562909734 0.10424151765612348 0.24111137888919226
-29.281488852000003 -36.04624632299999  -0.3470629036144814 0.09253005822594494 0.2709075967493409
-27.381635851999995 -34.48319032299999  -0.3418960064466867 0.08289539322690757 0.3004889416090741
-25.481782852000016 -32.920135323  -0.33171200613280055 0.07470191398382345 0.32950942116476506
-23.58192885200001 -31.35708032299999  -0.3167030528761645 0.06746850554374603 0.35744996580083543
-21.682075852000004 -29.794025323  -0.2971208091916623 0.06070099760421022 0.38390047667326516
-19.782222851999997 -28.230970322999994  -0.27310575074438836 0.05386195859034949 0.4081382859917332
-17.882368851999992 -26.66791532299999  -0.24465242957458253 0.046408113411235796 0.4294064414836876
-15.982515852000013 -25.104859323  -0.21201512148729562 0.0379918361059161 0.44688659490298793
-14.082662852000006 -23.541804322999994  -0.17539899714002344 0.45956814265791196 0.02800864306900802
-139.61546985200002 -21.978749322999988  -0.13487235638599024 0.016177887504657283
-137.715616852 -20.415694322999997  -0.09078065350883457 0.0023153706930446804
-135.815762852 -18.85263932299999  -0.04325205311824318 -0.013392020943913884 0.45696146786581404
-133.915909852 -17.289584323  0.0071970312970698535 -0.030071912806874608 0.43847076488509595
-132.01605685200002 -15.726528322999997  0.0599533271511295 -0.045548832996533055 0.40919344585359196
-130.116203852 -14.163473322999991  0.11389104208308616 -0.05608122531401613 0.36891158523690243
-128.216349852 -12.600418323  0.16718244013739175 -0.05658321583619564 0.3186515152331808
-126.316496852 -11.037363322999994  0.2175983839111051 -0.04210984634860586 0.2611014849082778
-124.41664385199999 -9.474308322999988  0.26291480050021654 -0.010552565573921065 0.2008660639232179
-122.51678985200002 -7.911253322999997  0.301699931492073 0.033979357688342905 0.14439125659063268
-120.61693685200001 -6.348197322999994  0.334680885242838 0.08035916130196566 0.09782386693835923
-118.717083852 -4.785142322999988  0.3653430653031361 0.11389924737106223 0.06390936482911354
-116.817229852 -3.2220873229999967  0.3972444330889078 0.12411498472834483 0.040894476461554835
-114.91737685200002 -1.659032322999991  0.42838755184817773 0.11013891764020455 0.023940683217125464
-113.01752385200001 -0.09597732299999961  0.45090004816071005 0.0795493377655736 0.007891764328520042
-174.834000852 -108.892843323  0.45580499828588633 0.0426521160832051 -0.010063802898261679
-172.934146852 -107.32978832299999  0.4384754174207294 0.007179067538616521 -0.030057157981979086
-171.03429385200002 -105.766733323  0.4007279182045655 -0.023253707533334625 -0.05075377917153886
-169.134440852 -104.203677323  0.3489632042782412 -0.048130618676735314 -0.07085966896779756
