-95.776354852 -90.75317632299999  -0.14166802513252855 0.11672695273298216 -0.0630882274427161
-93.87650185200002 -89.190121323  -0.12230809713179014 0.14331163105850733 -0.08559467745702086
-91.97664785200001 -87.627066323  -0.10062638361345376 0.16874940502519406 -0.10713011951405375
-90.076794852 -86.06401132299999  -0.07764846369829442 0.19279129196759573 -0.1272160539807354
-88.176941852 -84.500956323  -0.05452981179072381 0.21518767491258387 -0.14564368342413656
-86.277087852 -82.93790132299999  -0.0319681529380413 0.23571721230630924 -0.16217294846064284
-84.37723485200002 -81.37484532299999  -0.01075527749418016 0.25437471598846007 -0.1765292496237048
-82.47738185200001 -79.811790323  0.008499117511512482 0.2709200432726798 -0.1885613703308172
-80.577528852 -78.248735323  0.025351883710702405 0.2853409322481803 -0.19819270735169778
-78.677674852 -76.68568032299999  0.03937356197681734 0.29761469129057144 -0.20535102997300986
-76.77782185200002 -75.122625323  0.05011969094840954 0.3077470682377258 -0.20990526585507355
-74.87796885200001 -73.559570323  0.05748392475066735 0.3157182970665461 -0.21194963960251406
-72.978114852 -71.99651432299999  0.061361339879259694 0.32169816620943864 -0.2115485693203973
-71.078261852 -70.433459323  0.0616368508903389 0.32565081172486177 -0.208600463657463
-69.17840885200002 -68.870404323  0.05850390550758745 0.32771235567265955 -0.2033556620986218
-67.27855485200001 -67.307349323  0.05210783638994228 0.32797485974940144 -0.19587169417731956
-65.378701852 -65.74429432299999  0.042562517554709134 0.32653975301319166 -0.18612891144209356
-63.478848852000006 -64.181239323  0.030092522313577584 0.3234111458369533 -0.17428475609270483
-61.578995852 -62.618183323  0.015019531065355389 0.3187517822079167 -0.16038407581801972
-59.679141851999994 -61.055128323  -0.00239646384678864 0.31245902163384254 -0.14439440497330347
-57.779288852000015 -59.49207332299999  -0.022001437491530964 0.3045718584730578 -0.12643264433939383
-55.87943585200001 -57.929018322999994  -0.04341581305226528 0.29508321770869045 -0.10651951120819711
-53.979581852 -56.365963322999995  -0.06638317736063594 0.28399885191088425 -0.08474882065998056
-52.079728851999995 -54.802908323  -0.0906687023821073 0.27144998239163515 -0.061179486983121575
-50.179875852000016 -53.239852322999994  -0.115315924352535 0.25786974144114433 -0.03633572865508814
-48.28002185200001 -51.676797322999995  -0.139591556900939 0.24332133546088588 -0.010411340214318752
-46.380168852000004 -50.113742323  -0.16291893051955406 0.2280343017751588 0.016344276077182078
-44.480315852 -48.550687323  -0.18465593789771825 0.2121553254950077 0.043580448069596836
-42.58046185199999 -46.98763232299999  -0.20409900886426724 0.19585177718712216 0.07100249405521866
-40.68060885200001 -45.424577322999994  -0.22085738268540742 0.1792719581873205 0.09840007250465928
-38.780755852000006 -43.86152132299999  -0.23453922909354397 0.16268409513833304 0.1253451456113807
-36.880901852 -42.298466323  -0.24476413475760309 0.14614033033173315 0.1515981848806386
-34.981048851999994 -40.735411322999994  -0.25152041166582856 0.12998643918055747 0.17672632331404686
-33.081195852000015 -39.17235632299999  -0.25482333654778105 0.11445262995914647 0.20027585835347902
-31.18134185200001 -37.609301323  -0.25461266700140256 0.09966514934454421 0.2219928746519605
-29.281488852000003 -36.04624632299999  -0.25109149367115613 0.08569308978292606 0.24173318207634825
-27.381635851999995 -34.48319032299999  -0.24435153156191755 0.07268839215164125 0.259312309780922
-25.481782852000016 -32.920135323  -0.23438773066737634 0.06057852541413798 0.2746033733126588
-23.58192885200001 -31.35708032299999  -0.22130016287495063 0.049445785036884356 0.2873810755927111
-21.682075852000004 -29.794025323  -0.20531529420628097 0.039362161952044915 0.29762122056739443
-19.782222851999997 -28.230970322999994  -0.1866129726970882 0.03035742172723938 0.3051005025712727
-17.882368851999992 -26.66791532299999  -0.16527669735713574 0.022429607442575234 0.3097132324926867
-15.982515852000013 -25.104859323  -0.14162774701438852 0.015739250249905707 0.311451786736984
-14.082662852000006 -23.541804322999994  -0.11588623188106058 0.3102601896908403 0.010144811664656627
-139.61546985200002 -21.978749322999988  -0.08818409090149426 0.0056787091040181635
-137.715616852 -20.415694322999997  -0.0589543026727139 0.00229394076163708
-135.815762852 -18.85263932299999  -0.02837981504188565 -5.770398320312398e-05 0.2890421927732647
-133.915909852 -17.289584323  0.00302721022977597 -0.0013178626104822697 0.2764137359235442
-132.01605685200002 -15.726528322999997  0.0347354454006055 -0.0012334269625320841 0.2612101867546332
-130.116203852 -14.163473322999991  0.06627089333627734 1.6489107943111647e-05 0.2438209078133069
-128.216349852 -12.600418323  0.09712220791503613 0.0022819539293020617 0.22440271011516755
-126.316496852 -11.037363322999994  0.12671509104222314 0.005309301719945745 0.2033627405691043
-124.41664385199999 -9.474308322999988  0.15476296107643886 0.00877048195062437 0.18091840591148126
-122.51678985200002 -7.911253322999997  0.1809056189375773 0.01213438726686295 0.15743242605150481
-120.61693685200001 -6.348197322999994  0.20455637922116293 0.014990409195076463 0.13355367301565824
-118.717083852 -4.785142322999988  0.22538684721026256 0.01678026169715845 0.10966378251607359
-116.817229852 -3.2220873229999967  0.24320216920808913 0.017216787891775984 0.0860097001662959
-114.91737685200002 -1.659032322999991  0.2575209749436774 0.01611207347102765 0.06296681349377585
-113.01752385200001 -0.09597732299999961  0.2679723220519564 0.0133441578961808 0.04064638007219156
-174.834000852 -108.892843323  0.27433094432524957 0.008962817381618885 0.019178771923520927
-172.934146852 -107.32978832299999  0.2764185266514846 0.0030096463197658205 -0.001302710032552263
-171.03429385200002 -105.766733323  0.2741027803017047 -0.004436016108875025 -0.020639758040444364
-169.134440852 -104.203677323  0.2674067244426285 -0.013155527974409668 -0.03889609764204716
-167.234587852 -102.64062232299999  0.2564674456414494 -0.023131889501799105 -0.05591812256253083
-165.334733852 -101.077567323  0.24138431814065914 -0.034187643379200425 -0.07177116825808129
-163.434880852 -99.51451232299999  0.22219140957505176 -0.04616817903729976 -0.08629838781191156
-161.535027852 -97.951457323  0.19922379294080997 -0.058887745006949016 -0.09956921648383997
-159.635173852 -96.388402323  0.17280861864329486 -0.07215914776593176 -0.11158269145252216
-157.735320852 -94.82534632299999  0.1432848828556888 -0.08560120523065992 -0.12229990348463673
-155.835467852 -93.262291323  0.1113482978100806 -0.09904663079001941 -0.13179826220201904
-153.93561385200002 -91.699236323  0.07769577717280246 -0.1121697611113751 -0.14024298618196007
-152.035760852 -90.13618132299999  0.04303053089403492 -0.12467709246388323 -0.14762528382801052
-150.135907852 -88.573126323  0.008171822912508286 -0.1363558007727466 -0.15415900388807952
-148.236053852 -87.01007132299999  -0.025954352406096105 -0.14706463750853266 -0.15996691220470374
-146.33620085200002 -85.44701532299999  -0.05869035795564174 -0.15654541379159786 -0.1650976016705476
-144.436347852 -83.883960323  -0.08934120492075565 -0.16487626200611824 -0.16967330859347418
-142.536493852 -82.32090532299999  -0.11718954960876175 -0.1720049099921691 -0.17386518566890613
-140.636640852 -80.757850323  -0.14184204559389105 -0.177938426817039 -0.17767123253781375
-138.73678785200002 -79.194795323  -0.16289325173755012 -0.18274105128673226 -0.1811723630377809
-136.836934852 -77.631740323  -0.17995603109706315 -0.18650887060973623 -0.18450220348485719
-134.937080852 -76.06868432299999  -0.19278607957009125 -0.1892179759174903 -0.18773293426045012
-133.037227852 -74.505629323  -0.20128712839923085 -0.19106633184331637 -0.19071020848324433
-131.13737485200002 -72.942574323  -0.20538801940079823 -0.19211113117236603 -0.19360066897653339
-129.23752085200002 -71.379519323  -0.2049534234238468 -0.19239885569209994 -0.19637150189615707
-127.33766785200001 -69.81646432299999  -0.20014387643346376 -0.1919335696076335 -0.19891450729354185
-125.437814852 -68.253409323  -0.19109317182667082 -0.1907562260862467 -0.20129154208357794
-123.537960852 -66.690353323  -0.17787502075867884 -0.1886899169420621 -0.20347715067467195
-121.63810785199999 -65.12729832299999  -0.1607856718216303 -0.18577065646593358 -0.2052758962329296
-119.73825485200001 -63.56424332299999  -0.13999528502257214 -0.1819225821083884 -0.20685992423195806
-117.838400852 -62.001188322999994  -0.11560496752494669 -0.17710648404381216 -0.20819523316007713
-115.938547852 -60.438133322999995  -0.08803859706799498 -0.1712982715347122 -0.20914712913189973
-114.03869485199999 -58.875078323  -0.05770712517522368 -0.16459534754384095 -0.20973327307785042
-112.13884185200001 -57.312022322999994  -0.025052738928259363 -0.15695351772431387 -0.20983856629115874
-110.23898785200001 -55.748967322999995  0.009301741402693766 -0.14862549222764326 -0.20927235015788084
-108.339134852 -54.185912323  0.04452611253107464 -0.13975556437809478 -0.20784040398111236
-106.439281852 -52.622857323  0.07993626206751725 -0.13057879384718776 -0.20540696917457635
-104.53942785200002 -51.05980232299999  0.11468322562728309 -0.12138270508101263 -0.201751492780348
-102.63957485200001 -49.496747322999994  0.14783087991417315 -0.11249784427565176 -0.19655713338567923
-100.739721852 -47.933691323  0.1785568532690011 -0.10414595582069268 -0.18973385740584944
-98.839867852 -46.37063632299999  0.20623910346116464 -0.09675361425708692 -0.1810304193293273
-96.94001485199999 -44.807581322999994  0.23016549164813663 -0.09053329167607517 -0.170307152028416
-95.04016185200001 -43.24452632299999  0.24991143823297865 -0.08571602305689043 -0.15757662387562255
-93.140308852 -41.681471323  0.2653127015831309 -0.08243362496165028 -0.14282505716366733
-91.240454852 -40.11841632299999  0.2763131858417973 -0.08078578257560678 -0.1261731853517667
-89.34060185199999 -38.55536032299999  0.2828960123187603 -0.08063241038719357 -0.10770794383115194
-87.44074885200001 -36.992305323  0.2853772702533421 -0.08200688229517995 -0.08766357548088372
-85.54089485200001 -35.42925032299999  0.2840097377231825 -0.08473101570036026 -0.06641856519895505
-83.641041852 -33.866195323  0.27895453844855633 -0.08855911968362214 -0.04415866780901641
-81.741188852 -32.303140322999994  0.2704577088630255 -0.09336883578453552 -0.021192560051393982
-79.84133485200002 -30.740085322999988  0.25887738391845505 -0.09907708507668213 0.0023099385224220424
