0,0,0
0,0.096225,0
0,0.19245,-2e-09
0,0.28868,0
0,0.3849,0
0,0.48113,0
0,0.57735,0
0,0.67358,0
0,0.7698,1e-09
0,0.86603,1e-09
0,0.96225,1e-09
0,1.0585,1e-09
0,1.1547,1e-09
0,1.2509,1e-09
0,1.3472,1e-09
0,1.4434,0
0,1.5396,0
0,1.6358,-2e-09
0,1.7321,0
0.1,0,0.18803
0.1,0.096225,0.17654
0.1,0.19245,0.14339
0.1,0.28868,0.093704
0.1,0.3849,0.03307
0.1,0.48113,-0.032372
0.1,0.57735,-0.092919
0.1,0.67358,-0.14265
0.1,0.7698,-0.17565
0.1,0.86603,-0.18731
0.1,0.96225,-0.17555
0.1,1.0585,-0.14252
0.1,1.1547,-0.092701
0.1,1.2509,-0.032471
0.1,1.3472,0.032979
0.1,1.4434,0.093575
0.1,1.5396,0.14342
0.1,1.6358,0.17667
0.1,1.7321,0.18802
0.2,0,0.30345
0.2,0.096225,0.28508
0.2,0.19245,0.23221
0.2,0.28868,0.1517
0.2,0.3849,0.053131
0.2,0.48113,-0.052423
0.2,0.57735,-0.15123
0.2,0.67358,-0.23193
0.2,0.7698,-0.28444
0.2,0.86603,-0.30247
0.2,0.96225,-0.28465
0.2,1.0585,-0.2315
0.2,1.1547,-0.15117
0.2,1.2509,-0.052488
0.2,1.3472,0.05308
0.2,1.4434,0.15156
0.2,1.5396,0.23211
0.2,1.6358,0.28531
0.2,1.7321,0.30353
0.3,0,0.30251
0.3,0.096225,0.28461
0.3,0.19245,0.2314
0.3,0.28868,0.15122
0.3,0.3849,0.05248
0.3,0.48113,-0.053085
0.3,0.57735,-0.15156
0.3,0.67358,-0.23216
0.3,0.7698,-0.28525
0.3,0.86603,-0.30344
0.3,0.96225,-0.28507
0.3,1.0585,-0.2322
0.3,1.1547,-0.15172
0.3,1.2509,-0.053129
0.3,1.3472,0.052427
0.3,1.4434,0.15123
0.3,1.5396,0.23192
0.3,1.6358,0.28445
0.3,1.7321,0.30242
0.4,0,0.18735
0.4,0.096225,0.17555
0.4,0.19245,0.14257
0.4,0.28868,0.09265
0.4,0.3849,0.032481
0.4,0.48113,-0.032994
0.4,0.57735,-0.093567
0.4,0.67358,-0.14342
0.4,0.7698,-0.1767
0.4,0.86603,-0.18802
0.4,0.96225,-0.17657
0.4,1.0585,-0.14339
0.4,1.1547,-0.093749
0.4,1.2509,-0.033068
0.4,1.3472,0.032367
0.4,1.4434,0.092903
0.4,1.5396,0.14265
0.4,1.6358,0.17566
0.4,1.7321,0.18733
0.5,0,5.2681e-09
0.5,0.096225,5.0887e-09
0.5,0.19245,4.5657e-09
0.5,0.28868,4.6603e-09
0.5,0.3849,4.2123e-09
0.5,0.48113,3.254e-09
0.5,0.57735,2.1235e-09
0.5,0.67358,-2.4615e-10
0.5,0.7698,6.9402e-10
0.5,0.86603,4.5506e-10
0.5,0.96225,6.4536e-10
0.5,1.0585,1.8667e-09
0.5,1.1547,2.4468e-09
0.5,1.2509,1.9564e-09
0.5,1.3472,3.7729e-09
0.5,1.4434,4.0718e-09
0.5,1.5396,5.1897e-09
0.5,1.6358,5.9815e-09
0.5,1.7321,6.1752e-09
0.6,0,-0.18734
0.6,0.096225,-0.17559
0.6,0.19245,-0.14253
0.6,0.28868,-0.092676
0.6,0.3849,-0.032476
0.6,0.48113,0.032981
0.6,0.57735,0.093565
0.6,0.67358,0.14346
0.6,0.7698,0.1767
0.6,0.86603,0.188
0.6,0.96225,0.17651
0.6,1.0585,0.14341
0.6,1.1547,0.09376
0.6,1.2509,0.032986
0.6,1.3472,-0.032371
0.6,1.4434,-0.092913
0.6,1.5396,-0.14265
0.6,1.6358,-0.17565
0.6,1.7321,-0.18731
0.7,0,-0.30248
0.7,0.096225,-0.28466
0.7,0.19245,-0.23152
0.7,0.28868,-0.15127
0.7,0.3849,-0.052488
0.7,0.48113,0.053099
0.7,0.57735,0.15155
0.7,0.67358,0.23214
0.7,0.7698,0.28529
0.7,0.86603,0.30344
0.7,0.96225,0.28509
0.7,1.0585,0.23222
0.7,1.1547,0.1517
0.7,1.2509,0.053138
0.7,1.3472,-0.052429
0.7,1.4434,-0.15123
0.7,1.5396,-0.23193
0.7,1.6358,-0.28445
0.7,1.7321,-0.30248
0.8,0,-0.30344
0.8,0.096225,-0.28507
0.8,0.19245,-0.23226
0.8,0.28868,-0.1517
0.8,0.3849,-0.053127
0.8,0.48113,0.052424
0.8,0.57735,0.15129
0.8,0.67358,0.23195
0.8,0.7698,0.28446
0.8,0.86603,0.30243
0.8,0.96225,0.28467
0.8,1.0585,0.23147
0.8,1.1547,0.15119
0.8,1.2509,0.052484
0.8,1.3472,-0.053083
0.8,1.4434,-0.15156
0.8,1.5396,-0.23214
0.8,1.6358,-0.2853
0.8,1.7321,-0.30349
0.9,0,-0.18799
0.9,0.096225,-0.1766
0.9,0.19245,-0.14338
0.9,0.28868,-0.09376
0.9,0.3849,-0.033074
0.9,0.48113,0.032368
0.9,0.57735,0.092909
0.9,0.67358,0.14267
0.9,0.7698,0.17567
0.9,0.86603,0.18731
0.9,0.96225,0.17559
0.9,1.0585,0.14254
0.9,1.1547,0.09265
0.9,1.2509,0.032467
0.9,1.3472,-0.032984
0.9,1.4434,-0.093586
0.9,1.5396,-0.14344
0.9,1.6358,-0.1767
0.9,1.7321,-0.18801
1,0,2.0953e-10
1,0.096225,-1.9664e-10
1,0.19245,2.5681e-09
1,0.28868,1.5581e-09
1,0.3849,3.5341e-09
1,0.48113,5.5116e-09
1,0.57735,7.1603e-09
1,0.67358,8.3642e-09
1,0.7698,9.6477e-09
1,0.86603,9.9893e-09
1,0.96225,1.0831e-08
1,1.0585,1.0118e-08
1,1.1547,8.4378e-09
1,1.2509,7.1236e-09
1,1.3472,5.0943e-09
1,1.4434,3.506e-09
1,1.5396,1.7687e-09
1,1.6358,-1.9384e-10
1,1.7321,3.0285e-10
