-135.15612480599998 -28.717408626999998  -0.128077804938447 -0.04174642137883827 0.2438163321688285
-133.85299980599999 -26.630676627  -0.1726364929004742 0.033166743758428055 0.2257470358255909
-132.549875806 -24.543944627000002  -0.2056916264397145 0.10795361360924717 0.20769940036262027
-131.246751806 -22.457212627000004  -0.22655470775587014 0.17618651589635875 0.1914009396238266
-129.943626806 -20.370480627000006  -0.23523542990485616 0.23295672947721363 0.17832515022693843
-128.640502806 -18.28374762700001  -0.23218794166019235 0.27522938641129546 0.16951803700416523
-127.337378806 -16.197015627  -0.2177206814467265 0.30197104483893406 0.16536467248924125
-126.03425380599998 -14.110283627000001  -0.1924268295338823 0.31280340667959794 0.165948817249346
-124.731129806 -12.023551627000003  -0.15766921128256198 0.30750343240499495 0.1712493787254215
-123.42800580599999 -9.936819627000006  -0.11514020986902328 0.28608478169082413 0.18088085943342197
-122.124880806 -7.850087627000008  -0.06738719133252506 0.24904290785945368 0.19427823036744934
-120.821756806 -5.76335562700001  -0.017519675671567717 0.1979786889604466 0.21060940841766357
-119.518632806 -3.676623626999998  0.0320606042899418 0.13701699270930856 0.2282883132059192
-118.215507806 -1.589891627  0.07969298127239409 0.07081090168850931 0.24544380221060752
-178.454275806 -106.096842627  0.004110767524850591 0.2609520977280383
-177.151150806 -104.010110627  0.1572643702950375 -0.05907481514038201 0.27450034451875754
-175.848026806 -101.923378627  0.1809012615181471 -0.11513597058432784 0.286066319962096
-174.54490280599998 -99.83664662700001  0.19180510634453615 -0.16135666510927008 0.2955756644004203
-173.241777806 -97.74991462700001  0.18945700789574724 -0.19567249846656898 0.3028730269122978
-171.938653806 -95.663181627  0.17401557062041093 -0.21652351693977867 0.30779488378631675
-170.635529806 -93.576449627  0.1467369019194108 -0.22259912965989057 0.3098596963236502
-169.332404806 -91.489717627  0.1094758747491422 -0.2125263530450212 0.3083222567907316
-168.029280806 -89.402985627  0.06447156879847205 -0.18540975648019536 0.3025957696228561
-166.726155806 -87.31625362700001  0.014210775544373735 -0.141496470681037 0.29241484156758685
-165.42303180599998 -85.229521627  -0.039075542472835206 -0.08229538040977784 0.27825270509081856
-164.119907806 -83.142789627  -0.09163612078727236 -0.012069499594245497 0.2609231363758428
-162.816782806 -81.056057627  -0.13828427133816365 0.06259624692225596 0.24201237106613036
-161.513658806 -78.969324627  -0.17596808928865026 0.13514235323538726 0.22333730279937222
-160.210534806 -76.88259262700001  -0.20343136905363401 0.19959101336906143 0.20671861106241568
-158.907409806 -74.795860627  -0.2200238412040102 0.25150853686657537 0.1934953015522087
-157.604285806 -72.70912862700001  -0.22564508470009426 0.2887356092724133 0.18467668776631058
-156.30116180599998 -70.622396627  -0.2201447404845337 0.31067813409276523 0.18056764834787184
-154.998036806 -68.535664627  -0.2039070941005361 0.31678692297806277 0.1813771606478555
-153.694912806 -66.448932627  -0.17780104298208796 0.30670988952598843 0.18716581131389642
-152.391787806 -64.362200627  -0.14290054663505503 0.28024767981321513 0.19759886255654807
-151.088663806 -62.275468627  -0.10120574394734874 0.23791517244412638 0.21205380359222933
-149.785539806 -60.18873562700001  -0.055103843416099314 0.181639374714485 0.22944460592397864
