-73.79792442200001 -37.51545096000001  0.42603110086256063 0.08532312564387699 -0.08398388642160642
-71.719823422 -36.19860596000001  0.4058024449203811 0.10320646078188837 -0.050270369979725574
-69.64172242200002 -34.88176096000001  0.37475560033366795 0.10907467407093958 -0.011937713984942207
-67.56362142200001 -33.56491596000001  0.33910320301371316 0.10268736284280894 0.030914212356111862
-65.48552042200001 -32.24807096000001  0.3026908771165355 0.08565475392347786 0.07899380591950332
-63.407419422000004 -30.931225960000006  0.266253433544387 0.06176325305643955 0.13269995675812368
-61.329318422000014 -29.614380960000005  0.22845785731796195 0.03617819236002627 0.1915985643902961
-59.25121742200001 -28.297535960000005  0.1886712487925357 0.014017887962740483 0.25375323242152714
-57.173117422000004 -26.980690960000004  0.14838767536208244 -0.0019950187453968253 0.31581160358275984
-55.095016422000015 -25.663845960000003  0.10910571587090222 -0.011951700344973509 0.3747384980045915
-53.01691542200001 -24.347000960000003  0.07167112010566941 -0.01741612629127505 0.4285023482168321
-50.93881442200001 -23.030155960000002  0.03661234115324556 -0.02018263286852824 0.47558577785544603
-48.860713422 -21.71331096  0.0041688803742360656 -0.021630196023904317 0.5151416693144611
-46.782612422 -20.39646596  -0.02560564319475513 -0.022552101458422607 0.5468542552045262
-44.704511421999996 -19.07962096  -0.05275806823293128 -0.02323117384119165 0.5707992061862142
-42.62641042200002 -17.76277596  -0.07737399354418956 -0.023594257784718218 0.5873052581723912
-40.548310422000014 -16.44593096  -0.09953450385859847 -0.023344499706551235 0.5968792948089854
-38.47020942200001 -15.129085959999998  -0.11929224373980321 -0.022093982680468624 0.5999987993370687
-36.39210842200001 -13.812240959999997  -0.13665666538198967 -0.019422527846521702 0.5972346739653903
-34.314007422 -12.495395959999996  -0.15158704367215423 -0.01491937737714106 0.5892280162975352
-32.235906422 -11.17855096000001  -0.16397964070246038 -0.008187565436341577 0.576505073736225
-30.157805422000024 -9.861705960000009  -0.1736372090042034 0.0011277176756066061 0.559613222861836
-28.07970442200002 -8.544860960000008  -0.18026763186890463 0.013356188761430096 0.5390959481546087
-26.001603422000017 -7.228015960000008  -0.1834785711990422 0.02879074471982351 0.5154799789170886
