0.0 1.972937709214414e-05 1.972937709214414e-05
0.1 0.08607904871483658 0.04934893067332991
0.2 0.125148022985296 0.10144188804921421
0.3 0.16163925869543794 0.14464911906085332
0.396 0.1927638993862922 0.1856772184538984
0.5 0.20998829097487262 0.22278458936384807
0.558 0.2190360172168289 0.2465583339256612
0.769 0.21961676536913735 0.309663041507945
0.915 0.2155948526662139 0.33989196786171827
1.381 0.1904108064592993 0.3800438382094547
1.53 0.17671447773490678 0.37682662636996445
2.06 0.14920696039443207 0.3417157632069187
2.558 0.1293390701418926 0.2995027051791868
3.071 0.11296955354202494 0.2604171761417193
