-189.747848852 -110.126834323  0.11817461294572748
-187.847995852 -108.56377932299999  0.16404525285158794 0.12200585918501315 0.08439975835144833
-185.94814285200002 -107.00072332299999  0.1830844569469495 0.12432670135033909 0.05625054681387186
-184.048288852 -105.437668323  0.19864870418795721 0.12488148428849928 0.029038525092512212
-182.148435852 -103.87461332299999  0.20999061895960341 0.12350877490062595 0.003026881771022725
-180.248582852 -102.311558323  0.21685260426291986 0.1201440547456286 -0.021633989123111198
-178.348728852 -100.748503323  0.21905708675644409 0.11481269626888752 -0.04476757445819698
-176.44887585200001 -99.18544832299999  0.2165099961075986 0.1075852709171597 -0.0661342499282602
-174.549022852 -97.622393323  0.20931150279047175 0.09864426130570936 -0.08570127113984176
-172.649168852 -96.059337323  0.19768661263671494 0.08813086359697216 -0.10337990188034205
-170.749315852 -94.496282323  0.18178350726830247 0.07614807639552622 -0.11890140432500582
-168.84946285200002 -92.933227323  0.1618966403248334 0.0629137348943281 -0.1323653805747918
-166.949608852 -91.37017232299999  0.1385677979073156 0.04867048175276895 -0.14371869896308034
-165.049755852 -89.807117323  0.11225181285449509 0.03372565512498241 -0.15289640382046832
-163.149902852 -88.244061323  0.08363130549341194 0.018374357319051914 -0.16010671247579078
-161.25004985200002 -86.68100632299999  0.05360888959753881 0.0029501886138136165 -0.1654110151146002
-159.350195852 -85.117951323  0.022959488812219018 -0.0122368355972698 -0.16902278793843573
-157.450342852 -83.554896323  -0.0076258668802308355 -0.026921420387080768 -0.17110224017789902
-155.550489852 -81.99184132299999  -0.037315984463382884 -0.04089888131781953 -0.1719254370078252
-153.65063585200002 -80.428786323  -0.06548856752663738 -0.05406154598724502 -0.17170756886428074
-151.75078285200001 -78.86573132299999  -0.09171001972618101 -0.06621606502881575 -0.17056431557076804
-149.850929852 -77.30267532299999  -0.11565256354872726 -0.07731794380567525 -0.16881765602691623
-147.951075852 -75.739620323  -0.13689679238358698 -0.08743332078788109 -0.1665713632059857
-146.051222852 -74.17656532299999  -0.1553701645422377 -0.09653542340536725 -0.16395594767958893
-144.15136985200002 -72.61351032299999  -0.1708932272761454 -0.10471139761638115 -0.1611596803231502
-142.251516852 -71.050455323  -0.1832013943444798 -0.11210624619383654 -0.15822362205547183
-140.351662852 -69.487400323  -0.1922242094299067 -0.11877221957145634 -0.15521189369317226
-138.451809852 -67.92434432299999  -0.1980908598454162 -0.12483955865495057 -0.1520738372505346
-136.55195685200002 -66.361289323  -0.2006296722093135 -0.13050752180647596 -0.14883103445403978
-134.652102852 -64.798234323  -0.19985060901590296 -0.13584473479550915 -0.1455573614888391
-132.752249852 -63.235179323  -0.19583290505260212 -0.140911567044495 -0.14212729499379378
-130.852396852 -61.67212432299999  -0.18858543144998194 -0.14578527156831983 -0.13862671690366446
-128.95254285200002 -60.109068322999995  -0.17802220258051843 -0.15050355690612194 -0.13507619413912525
-127.05268985200001 -58.546013323  -0.1642318383321078 -0.1550498270921237 -0.1313055103367184
-125.15283685200001 -56.98295832299999  -0.14727838484965325 -0.15932590364592722 -0.12749272070950374
-123.252982852 -55.41990332299999  -0.12706609590455453 -0.163150212106124 -0.12362732606946554
-121.353129852 -53.856848322999994  -0.10373351121759476 -0.16634711635610228 -0.11963578015440803
-119.45327685200002 -52.293793322999996  -0.07734482997365347 -0.1688385014656765 -0.11561919959230549
-117.55342385200001 -50.730738323  -0.047944263250317004 -0.17041936900489482 -0.11157144888022812
-115.653569852 -49.167682322999994  -0.015817344665428775 -0.17099667903045077 -0.1075376347637542
-113.753716852 -47.604627322999995  0.01859188927106156 -0.1705983848630182 -0.10343882524846729
-111.85386385200002 -46.041572323  0.05485997985636753 -0.1691913099312391 -0.09931840457437423
-109.95400985200001 -44.47851732299999  0.09230037416479575 -0.16685717015500065 -0.0951074571727967
-108.054156852 -42.915462323  0.12995162748590783 -0.16376407679798574 -0.09059089250506518
-106.154303852 -41.352406323  0.16692553027290347 -0.1601686896726357 -0.0857179593592811
-104.254449852 -39.78935132299999  0.20218988685097433 -0.15641196113596323 -0.08022843628255648
-102.35459685200001 -38.226296323  0.23454523622236753 -0.15287123316931742 -0.0738014388676508
-100.45474385200001 -36.663241322999994  0.2630143039912922 -0.1499877705580125 -0.0663609142172571
-98.554890852 -35.10018632299999  0.2868716649031097 -0.14814780225893306 -0.057668837647366245
-96.655036852 -33.537131323  0.3055798264998478 -0.1477020147318527 -0.04761204312829451
-94.75518385200002 -31.97407632299999  0.31879275466449913 -0.1487573606157359 -0.036164153083112806
-92.85533085200001 -30.41102032299999  0.32660118220321394 -0.15135421139595967 -0.02341534119714748
-90.955476852 -28.847965322999997  0.32928718586455036 -0.15547556632143875 -0.009471787429488905
-89.055623852 -27.28491032299999  0.32714104715208203 -0.1609191428301502 0.005502384762777598
-87.15577085200002 -25.721855323  0.32074026215200446 -0.16749837737027326 0.02126546435477393
-85.25591685200001 -24.158800322999994  0.31048630675523636 -0.17502866642099385 0.0376574918224353
-83.356063852 -22.59574532299999  0.2965847085887472 -0.18333601677668643 0.054617126863570696
-81.456210852 -21.032689323  0.2791979831055092 -0.19211678353659595 0.07185611092601182
-79.556356852 -19.469634322999994  0.25852769711359336 -0.20127050041892586 0.08924686106518807
-77.65650385200001 -17.90657932299999  0.2345540877288067 -0.21048461645902858 0.10655151181431757
-75.756650852 -16.343524322999997  0.20751608155750711 -0.21937880517305514 0.12336874026830738
-73.856796852 -14.780469322999991  0.17807654493976757 -0.22737803805439571 0.13924985001396487
-71.956943852 -13.217414323  0.14685760131665856 -0.233817880620814 0.15374842391545146
-70.05709085200002 -11.654358322999997  0.11481581945367537 -0.23793020811385832 0.16602954046775928
-68.15723685200001 -10.091303322999991  0.08283392175958544 -0.23943692984994913 0.1756415047541882
