-141.671746806 -39.151069627  0.13656123798715258 -0.2296201635966631 0.2891920716506447
-140.368621806 -37.064337627  0.09110435590873756 -0.22535600594684974 0.28810228510976676
-139.065497806 -34.977604627000005  0.038714330132748574 -0.2038379590845851 0.28258387954576114
-137.762373806 -32.89087262700001  -0.017718450409753842 -0.16511887469584446 0.2727777836656934
-136.459248806 -30.80414062700001  -0.0748601429531151 -0.11018781025754765 0.2592192180791616
-135.15612480599998 -28.717408626999998  -0.12826650588693986 -0.04249502832994382 0.24290808101578154
-133.85299980599999 -26.630676627  -0.172764637446994 0.03198246202232591 0.2251930240280057
-132.549875806 -24.543944627000002  -0.20589254418315467 0.10696950776127169 0.20778135232278733
-131.246751806 -22.457212627000004  -0.22699420546201043 0.17613402611419116 0.1921664085602259
-129.943626806 -20.370480627000006  -0.23604236410465748 0.23434337742346467 0.1796647961318876
-128.640502806 -18.28374762700001  -0.2334779455024157 0.2781647566832054 0.17126921568742695
-127.337378806 -16.197015627  -0.2195863648410345 0.30621846278594356 0.16737991157946966
-126.03425380599998 -14.110283627000001  -0.19490938428658147 0.3179162096263343 0.16811258994235342
-124.731129806 -12.023551627000003  -0.16074337408676734 0.3129221411665107 0.173510499575424
-123.42800580599999 -9.936819627000006  -0.1186515960758346 0.2911830785183967 0.18326210009379817
-122.124880806 -7.850087627000008  -0.07101215454344106 0.253177347228591 0.19687316602396007
-120.821756806 -5.76335562700001  -0.020817628181632953 0.20057821698761905 0.21355956145841332
-119.518632806 -3.676623626999998  0.029545456171850018 0.1377741949941079 0.23170866990663316
-118.215507806 -1.589891627  0.07835416080477309 0.06977580235695112 0.24936294851203755
-178.454275806 -106.096842627  0.0016650234460777106 0.2653346721762176
-177.151150806 -104.010110627  0.15863557430882336 -0.06235073632676159 0.27928416504133713
-175.848026806 -101.923378627  0.183282289802027 -0.11864729194388292 0.29116465038385886
-174.54490280599998 -99.83664662700001  0.194757164820708 -0.16461301398649814 0.3008586067101916
-173.241777806 -97.74991462700001  0.1925452314792126 -0.19832736543036214 0.3081579219317805
-171.938653806 -95.663181627  0.17690968256257267 -0.21837273590288808 0.3128485810746102
-170.635529806 -93.576449627  0.14923485621486318 -0.22359673582582873 0.3144263291548724
-169.332404806 -91.489717627  0.11147240404159199 -0.21282716494561738 0.3121931164217717
-168.029280806 -89.402985627  0.06589606489024062 -0.185365728183076 0.30570863263238385
-166.726155806 -87.31625362700001  0.01496715579393179 -0.1415190436565542 0.2948874212585646
-165.42303180599998 -85.229521627  -0.038926322098155955 -0.08264108705061889 0.280325568489748
-164.119907806 -83.142789627  -0.09187326596263369 -0.012707678430423721 0.262910046137697
-162.816782806 -81.056057627  -0.13870816926664234 0.062009930680596285 0.24419460992514336
-161.513658806 -78.969324627  -0.176499259323089 0.13514922739532648 0.22586076750114287
-160.210534806 -76.88259262700001  -0.20407970713692367 0.2007058894863989 0.2095681828660626
-158.907409806 -74.795860627  -0.22086249771245187 0.2540239504004534 0.1965542776783864
-157.604285806 -72.70912862700001  -0.22681085809926435 0.29256541588016044 0.18781532878033033
-156.30116180599998 -70.622396627  -0.22178691041702808 0.3155226686102615 0.18368070706755887
-154.998036806 -68.535664627  -0.20615395415918036 0.3222141192871069 0.18441176529242434
-153.694912806 -66.448932627  -0.1807259849883102 0.31218913676500615 0.1901310116788626
-152.391787806 -64.362200627  -0.14645671163407678 0.2851783506789667 0.20056087896463298
-151.088663806 -62.275468627  -0.10516741375143661 0.2416874784470703 0.21512883601136426
-149.785539806 -60.18873562700001  -0.05906849624348226 0.18375559826741825 0.2327794760675422
-148.48241480599998 -58.102003627  -0.009984983111584259 0.11650905994737007 0.25154946151941393
-147.17929080599998 -56.015271627000004  0.04015680331639668 0.04539124850770922 0.2695016173193394
-145.876166806 -53.928539627000006  0.08827060311500005 -0.023860647373872203 0.2852854798734915
-144.573041806 -51.841807627  0.13005779079860405 -0.08641295163046166 0.29834921973986644
-143.269917806 -49.755075627000004  0.16201034841148104 -0.13891749599325406 0.30872341125841773
-141.966793806 -47.668343627000006  0.18175659285143186 -0.17935336108739025 0.3164721018960797
-140.663668806 -45.581611627  0.18817235845102848 -0.20648164949422135 0.32161942133081833
-139.360544806 -43.494878627000006  0.1810537831477395 -0.2195075756214062 0.32418490217195506
-138.05742080599998 -41.40814662700001  0.16154869089139395 -0.21778854542120007 0.3238608972424515
-136.754295806 -39.32141462700001  0.13146972435412976 -0.20053213652502402 0.32005207572368394
-135.451171806 -37.234682627  0.09288509827359992 -0.16730938108765986 0.3122647447734564
-134.148046806 -35.147950627  0.04791773498130577 -0.11870145550323793 0.3002442043967741
-132.844922806 -33.061218627  -0.0019127458582318983 -0.056525656829652104 0.2845201640951528
-131.541798806 -30.974486627000005  -0.053627135086770854 0.014889399859296477 0.26612625191347583
-130.23867380599998 -28.887754627000007  -0.10225807548336413 0.08904756472600138 0.24652893242180543
-128.93554980599998 -26.801021626999997  -0.14438799719543488 0.1596762881895357 0.22758182960007753
-127.63242580599999 -24.714289627  -0.17829896068668058 0.22115455318964797 0.21091275098909712
-126.32930080599999 -22.627557627  -0.202766980729316 0.26938506072454993 0.19776319922845154
-125.026176806 -20.540825627000004  -0.21717059335834166 0.30304820319963194 0.18903332196409833
-123.723052806 -18.454093627000006  -0.22119846692821388 0.32128526275031427 0.18509839831833833
-122.419927806 -16.367361627000008  -0.21477701436181626 0.323214715953486 0.18623233228509017
-121.11680380600001 -14.28062962700001  -0.19833034064371927 0.30812802706520437 0.19255915636540874
-119.81367980600001 -12.193897626999998  -0.1722970171663856 0.27565633311144494 0.2036589970329053
-118.51055480599999 -10.107164627000003  -0.13772744528095146 0.2263782121389318 0.2188909609112495
-117.20743080599999 -8.020432627000005  -0.09632185606470775 0.1631202398833917 0.23723616150025983
-115.904305806 -5.933700627000007  -0.04927659654856993 0.09167899102380657 0.2564509024827231
-114.601181806 -3.8469686270000096  0.0015627896903896458 0.017952316195761073 0.2746537238565803
-113.298057806 -1.7602366269999976  0.0530220054154083 -0.05173950307610377 0.29035208964227094
-173.536824806 -106.26718862700001  -0.1121360549536667 0.30284516990755866
-172.233700806 -104.180455627  0.139797065763953 -0.16034392332797795 0.31195977030483724
-170.930576806 -102.093723627  0.16811244662777403 -0.19490970274719444 0.31789765689991795
-169.62745180599998 -100.006991627  0.18345562237405216 -0.21523567851458034 0.3209120593039317
-168.32432780599999 -97.92025962700001  0.18507700074222358 -0.22115858194701551 0.3212667959821965
-167.021203806 -95.83352762700001  0.17380965957309566 -0.21248898670767072 0.3188214660260991
-165.718078806 -93.74679562700001  0.15137226421372388 -0.18879483181487708 0.3132136072777561
-164.414954806 -91.660063627  0.11977505476606003 -0.15002566826074276 0.3039835439002492
-163.111829806 -89.573330627  0.08100299678023071 -0.09703172548411074 0.290753311449755
-161.808705806 -87.486598627  0.03592581795953451 -0.03220430384789283 0.27402311953592606
-160.50558180599998 -85.39986662700001  -0.013739799588083232 0.03996046083440299 0.25469605259095507
-159.202456806 -83.31313462700001  -0.06353986384309095 0.11288467558556446 0.23442126860375825
-157.899332806 -81.226402627  -0.10963078095470055 0.18040545888119305 0.2150360779622407
-156.596208806 -79.139670627  -0.1495917259085512 0.23727281976657535 0.19809871691339526
-155.293083806 -77.052938627  -0.18165797847266454 0.28076527248925626 0.184905109761237
-153.989959806 -74.966206627  -0.2046666732416423 0.3099263989806034 0.1763312739410008
-152.686835806 -72.87947462700001  -0.2178081238612306 0.32367878079113555 0.17268708156863927
-151.38371080599998 -70.792741627  -0.22075019579630176 0.32085677058329315 0.1741892286583201
-150.08058680599999 -68.70600962700001  -0.21344508618275834 0.30039536395334404 0.18090775630364006
-148.777461806 -66.619277627  -0.19577758329375633 0.26204730958241546 0.19236567523994635
-147.474337806 -64.532545627  -0.1683480146851554 0.20686612937527857 0.20800627312532557
-146.171213806 -62.44581362700001  -0.13217813939410894 0.1385324445603156 0.22661995131857263
-144.868088806 -60.359081627  -0.08795393767440447 0.06340780965278182 0.24606436039588228
-143.564964806 -58.272349627000004  -0.03722066627369846 -0.012153099762308467 0.264443362113631
-142.26184080599998 -56.185617627000006  0.016936388645695816 -0.08138048910418626 0.2801733918641008
-140.958715806 -54.098884627000004  0.06963339576439481 -0.138968936629465 0.29222865472844656
-139.655591806 -52.012152627000006  0.11631552098392506 -0.18249639490840272 0.3005423425868335
-138.352467806 -49.925420627  0.15337255849689488 -0.21097100825855516 0.30515802191009334
-137.049342806 -47.838688627  0.1780249766415507 -0.22440886664202597 0.30644917008608713
-135.746218806 -45.751956627000006  0.18877665452871234 -0.2231911973352188 0.30486660354436557
-134.443093806 -43.66522462700001  0.1860447136621261 -0.20760935396458471 0.30046922558382494
-133.13996980599998 -41.578492627  0.17127782230232616 -0.17758500843971872 0.29314108106230846
-131.83684580599999 -39.491760627000005  0.1466238264601021 -0.1335353486163328 0.2825617210615439
-130.533720806 -37.40502862700001  0.11404171473464786 -0.07674853531750436 0.2683746656154172
-129.230596806 -35.318295627  0.07417203229967816 -0.009916505937058057 0.2508966341394614
-127.927472806 -33.231563627  0.027440479648963907 0.062208045877440554 0.23102352127992978
-126.624347806 -31.144831627000002  -0.022737030062530715 0.13313759608488246 0.21030237328626872
-125.321223806 -29.058099627000004  -0.0720871207726298 0.196966255700837 0.19053886962354669
-124.018099806 -26.971367627000006  -0.11776281776121303 0.24911919479276864 0.17335444969903085
