0,0,0.44554
0,0.096225,0.42766
0,0.19245,0.3753
0,0.28868,0.29583
0,0.3849,0.19834
0,0.48113,0.0955
0,0.57735,7e-09
0,0.67358,-0.077731
0,0.7698,-0.12905
0,0.86603,-0.14718
0,0.96225,-0.12889
0,1.0585,-0.077673
0,1.1547,-2.7e-08
0,1.2509,0.095665
0,1.3472,0.19826
0,1.4434,0.29645
0,1.5396,0.37475
0,1.6358,0.42738
0,1.7321,0.44562
0.1,0,0.38851
0.1,0.096225,0.37387
0.1,0.19245,0.33144
0.1,0.28868,0.26686
0.1,0.3849,0.18821
0.1,0.48113,0.1055
0.1,0.57735,0.027875
0.1,0.67358,-0.034934
0.1,0.7698,-0.076005
0.1,0.86603,-0.090675
0.1,0.96225,-0.07558
0.1,1.0585,-0.035113
0.1,1.1547,0.027747
0.1,1.2509,0.1057
0.1,1.3472,0.18756
0.1,1.4434,0.26731
0.1,1.5396,0.33126
0.1,1.6358,0.37524
0.1,1.7321,0.3886
0.2,0,0.23927
0.2,0.096225,0.23376
0.2,0.19245,0.21809
0.2,0.28868,0.19325
0.2,0.3849,0.16248
0.2,0.48113,0.13093
0.2,0.57735,0.10116
0.2,0.67358,0.077486
0.2,0.7698,0.061989
0.2,0.86603,0.056372
0.2,0.96225,0.061831
0.2,1.0585,0.077144
0.2,1.1547,0.10095
0.2,1.2509,0.13069
0.2,1.3472,0.1631
0.2,1.4434,0.19255
0.2,1.5396,0.21752
0.2,1.6358,0.23394
0.2,1.7321,0.23925
0.3,0,0.056314
0.3,0.096225,0.061839
0.3,0.19245,0.077151
0.3,0.28868,0.10093
0.3,0.3849,0.13073
0.3,0.48113,0.16301
0.3,0.57735,0.19255
0.3,0.67358,0.21762
0.3,0.7698,0.23409
0.3,0.86603,0.23921
0.3,0.96225,0.23377
0.3,1.0585,0.21807
0.3,1.1547,0.19311
0.3,1.2509,0.16245
0.3,1.3472,0.13094
0.3,1.4434,0.10116
0.3,1.5396,0.077525
0.3,1.6358,0.061985
0.3,1.7321,0.056306
0.4,0,-0.0907
0.4,0.096225,-0.075599
0.4,0.19245,-0.035081
0.4,0.28868,0.027713
0.4,0.3849,0.10568
0.4,0.48113,0.1875
0.4,0.57735,0.26733
0.4,0.67358,0.33128
0.4,0.7698,0.37529
0.4,0.86603,0.38857
0.4,0.96225,0.37382
0.4,1.0585,0.33138
0.4,1.1547,0.26685
0.4,1.2509,0.18828
0.4,1.3472,0.10548
0.4,1.4434,0.027879
0.4,1.5396,-0.034972
0.4,1.6358,-0.076017
0.4,1.7321,-0.090703
0.5,0,-0.14714
0.5,0.096225,-0.12891
0.5,0.19245,-0.077638
0.5,0.28868,-1.1062e-08
0.5,0.3849,0.09568
0.5,0.48113,0.19826
0.5,0.57735,0.29638
0.5,0.67358,0.37482
0.5,0.7698,0.42759
0.5,0.86603,0.44554
0.5,0.96225,0.42748
0.5,1.0585,0.3753
0.5,1.1547,0.29546
0.5,1.2509,0.19815
0.5,1.3472,0.095484
0.5,1.4434,2.0821e-08
0.5,1.5396,-0.077754
0.5,1.6358,-0.12905
0.5,1.7321,-0.14729
0.6,0,-0.090729
0.6,0.096225,-0.075592
0.6,0.19245,-0.035089
0.6,0.28868,0.027772
0.6,0.3849,0.10562
0.6,0.48113,0.18749
0.6,0.57735,0.26727
0.6,0.67358,0.33127
0.6,0.7698,0.37528
0.6,0.86603,0.38856
0.6,0.96225,0.37384
0.6,1.0585,0.33141
0.6,1.1547,0.26688
0.6,1.2509,0.18823
0.6,1.3472,0.10551
0.6,1.4434,0.027873
0.6,1.5396,-0.03497
0.6,1.6358,-0.076028
0.6,1.7321,-0.09066
0.7,0,0.056314
0.7,0.096225,0.061846
0.7,0.19245,0.077195
0.7,0.28868,0.10092
0.7,0.3849,0.1307
0.7,0.48113,0.16302
0.7,0.57735,0.19252
0.7,0.67358,0.21755
0.7,0.7698,0.23396
0.7,0.86603,0.2399
0.7,0.96225,0.23377
0.7,1.0585,0.21802
0.7,1.1547,0.19316
0.7,1.2509,0.1625
0.7,1.3472,0.13093
0.7,1.4434,0.10115
0.7,1.5396,0.077497
0.7,1.6358,0.062002
0.7,1.7321,0.056306
0.8,0,0.23922
0.8,0.096225,0.23376
0.8,0.19245,0.21811
0.8,0.28868,0.19314
0.8,0.3849,0.16248
0.8,0.48113,0.13092
0.8,0.57735,0.10114
0.8,0.67358,0.077489
0.8,0.7698,0.061979
0.8,0.86603,0.056326
0.8,0.96225,0.061853
0.8,1.0585,0.077152
0.8,1.1547,0.10093
0.8,1.2509,0.13078
0.8,1.3472,0.16301
0.8,1.4434,0.19261
0.8,1.5396,0.21752
0.8,1.6358,0.23395
0.8,1.7321,0.23922
0.9,0,0.38853
0.9,0.096225,0.37381
0.9,0.19245,0.33138
0.9,0.28868,0.26681
0.9,0.3849,0.18823
0.9,0.48113,0.10552
0.9,0.57735,0.027876
0.9,0.67358,-0.034971
0.9,0.7698,-0.076
0.9,0.86603,-0.090688
0.9,0.96225,-0.075656
0.9,1.0585,-0.035083
0.9,1.1547,0.027743
0.9,1.2509,0.10574
0.9,1.3472,0.18758
0.9,1.4434,0.26726
0.9,1.5396,0.33134
0.9,1.6358,0.37533
0.9,1.7321,0.38853
1,0,0.44565
1,0.096225,0.42751
1,0.19245,0.37527
1,0.28868,0.29539
1,0.3849,0.19817
1,0.48113,0.095503
1,0.57735,7.5981e-09
1,0.67358,-0.077725
1,0.7698,-0.12925
1,0.86603,-0.14717
1,0.96225,-0.12884
1,1.0585,-0.077644
1,1.1547,-2.6383e-08
1,1.2509,0.095648
1,1.3472,0.19828
1,1.4434,0.29648
1,1.5396,0.37482
1,1.6358,0.42728
1,1.7321,0.44559
