x           y           stackinginfo
1.2290103114538 0.709569337985578 0
2.45788011711287 1.41905764975309 0
2.45754029813126 2.83816557020054 0
3.68571309250306 3.54737992975043 0
3.68515489638812 4.96616098739491 0
4.91216585727926 5.67483851497885 0
4.91138694532965 7.09325294849338 0
6.13684928487702 7.80125239582075 0
6.13588309476487 9.21940893816017 0
7.35961381014491 9.92676818736319 0
7.35852875668318 11.3448636289646 0
8.58059595924854 12.0517819672108 0
8.57948261835504 13.4700365028975 0
9.80017432938323 14.1768107483849 0
9.79912740808082 15.5954205631368 0
11.0188683976592 16.3023692146541 0
11.017968985862 17.7214810378426 0
12.2372222827133 18.4288828464674 0
12.2365263752662 19.8485880199822 0
13.4557149620164 20.5566486635709 0
13.4552512113538 21.9769898242337 0
14.6747163916587 22.685835294916 0
14.6744906913314 24.10681809503 4
15.8944830599859 24.8165046331813 4
15.8944859839451 26.2381092617164 4
17.115175558049 26.9486396097299 4
17.1153897527665 28.3708299156156 4
18.3368831851063 29.0821694791035 4
18.3372894796531 30.5048994574497 4
19.5596473635055 31.2169894948702 4
19.5602290358723 32.6402074419383 4
20.7834801850933 33.35297446912 4
20.7842255147321 34.7766253010115 4
22.0083769614831 35.489987607693 2
22.0092802390817 36.9140140501179 2
23.2343237726168 37.6278862257494 2
23.235385518701 39.0522294283357 2
24.4613019632807 39.7665255955055 2
24.4625286068345 41.191125476021 2
25.6892906098337 41.9057616463981 2
25.6906940055986 43.3305570840142 2
26.9182678465425 44.045452895489 2
26.9198645615473 45.4703817992154 2
28.1482112855998 46.1854618010501 2
28.1500216761883 47.6104611462277 2
29.3790977680535 48.3256557883118 2
29.381144883373 49.7506615982831 2
30.6109026690071 50.4659079552969 2
30.6132108690082 51.8908552489865 2
31.8435987081622 52.6060976445421 2
31.8461917634263 54.0309202712876 2
33.0771540826805 54.746110896403 2
33.0800531164253 56.1707415157518 2
34.3115305847594 56.8858405468287 2
34.3147523248348 58.3102107322766 2
35.5466822230381 59.0251859310748 2
35.550237418287 60.4492262164894 2
36.7825542117878 61.1640521596471 2
36.7864463055054 62.5876921090597 2
38.0190823692511 63.3023490764597 2
38.0233065356503 64.7255173969318 2
39.2561929920755 65.4399900011722 2
39.26073561638 66.8626146595677 2
40.4938032917682 67.5768904179202 2
40.4986419790092 68.998898854358 2
41.7318224169705 69.712966370955 2
41.7369264995496 71.1342858335766 2
42.9701527717481 71.8481330788097 2
42.9754837880562 73.2686911110543 2
44.2086911342166 73.9823042054576 2
44.2142032131453 75.4020293442561 2
45.4473295792939 76.1153915847696 2
45.4529699814923 77.5342144470708 2
46.6859565053848 78.2473055410368 2
46.6916661763724 79.6651604417036 2
47.9244576083169 80.3779559260794 2
47.9301717641115 81.7947833240551 4
49.1627168874118 82.5072542079127 4
49.1683656656894 83.923004285561 4
50.4006177231923 84.6351170023426 4
50.4061268408064 86.0497549949303 4
51.6380439957582 86.7614718427215 4
51.6433354118478 88.1749859596263 4
52.8748812488094 88.8862666061137 4
52.879873789517 90.2986799557154 4
54.1110180464769 91.0094847988811 4
54.115628429191 92.4208724474881 4
55.3463484798797 93.13116838036 0
55.3504940704698 94.541678937119 0
56.5807774704398 95.2514478970784 0
56.5843816786841 96.6613265028194 0
57.8142303766486 97.3705764092194 0
57.8172316593065 98.7801816409779 0
59.0466682535478 99.4889586351243 0
59.0490332415603 100.898759644799 0
60.278108836757 101.607157891441 0
60.2798474282236 103.017695053036 0
61.5086485555653 103.725858136285 0
61.5098241912489 105.137658560714 0
62.7384733945962 105.845766594573 0
62.7391991146341 107.259228114697 0
63.9678418032898 107.967469644059 0
63.9682561369695 109.382750894624 0
65.1970285265996 110.091283560142 0
65.1972557889478 111.508244996361 0
66.4262353247108 112.217152114275 0
66.4263465822801 113.635388142896 0
67.6554999971755 114.344647814493 0
67.6554999963865 115.763624443144 0
68.8846587528763 116.473108177947 0
3.68669371705282 0.709209399400991 0
4.91497776876226 1.41823105658261 0
4.9140978119918 2.83715559407368 0
6.14110329059068 3.54556753853029 0
6.13983741252175 4.96404916564717 0
7.36514812614274 5.67164639810877 0
7.36354192566161 7.08973537104905 0
8.58700880438489 7.79654765649449 0
8.58518044949932 9.21445569014781 0
9.80695454143326 9.92071885005916 0
9.80506093358794 11.3387159997918 0
11.0255253497236 12.0447808443957 0
11.0237208022664 13.4631155811705 0
12.2433724302023 14.1693485181468 0
12.2417776646232 15.5882060005708 0
13.4611119838546 16.2949167211289 0
13.4598014815633 17.7144102725982 0
14.6792379173208 18.4218189535687 0
14.6782431557863 19.8420008840639 0
15.8980975502773 20.5502374497735 4
15.8974184194077 21.9711158465669 4
17.1179078921377 22.6802356539447 4
17.1175251822323 24.1017896281932 4
18.3387871309782 24.8117933599027 4
18.3386726160763 26.2339843448046 4
19.5607859314198 26.9448357534355 4
19.5609094586971 28.367615012031 4
20.783912552807 29.0792544876938 4
20.7842467728476 30.502567807147 4
22.0081511810797 31.2149220213529 4
22.0086745690443 32.6387124182213 4
23.2334743602756 33.351700614221 2
23.2341721613895 34.7759096042745 2
24.4598497871721 35.4894477829057 2
24.4607140403882 36.9140159887972 2
25.6872438774428 37.6280198531571 2
25.6882730917613 39.052887269234 2
26.9156236179682 39.7672742946325 2
26.9168221433314 41.1923803988868 2
28.1449572766889 41.9070713960604 2
28.146334579729 43.3323551793741 2
29.3752144886933 44.0472754166331 2
29.3767842887082 45.4726753551071 2
30.6063658243651 46.1877554218699 2
30.608145068043 47.6132094135715 2
31.8383819801681 48.3283858654568 2
31.8403896572929 49.7538311330692 2
33.071232662329 50.4690470083112 2
33.0734882508668 51.8944199411817 2
34.3048849819706 52.6096252464111 2
34.3074066510356 54.0348612735148 2
35.5393016367215 54.7500132390019 2
35.5421046495432 56.1750468465994 2
36.774439509362 56.8901096739525 2
36.7775346581758 58.3148743814425 2
38.0102484608301 59.0298186646954 2
38.0136407386038 60.4542469978801 2
39.2466705099999 61.1690488425435 2
39.2503581117054 62.5930723430415 2
40.4836394876826 63.3077122068457 2
40.4876131031257 64.7312614502012 2
41.721081079615 65.4457227827282 2
41.7253236018434 66.8687274260237 2
42.9589133493824 67.5829952873213 2
42.9634000874111 69.005384163614 2
44.1970477455221 69.7194436191141 2
44.2017468745923 71.1411449524851 2
45.4353901889371 71.8549796188146 2
45.440263183551 73.2759213378655 2
46.6738420110876 73.989512339663 2
46.6788440618109 75.4096225823669 2
47.9123008335768 76.1229476122766 2
47.9173813940766 77.5421555354891 2
49.1506615214339 78.2551881005845 2
49.1557648995882 79.6734251468857 2
50.3888171656724 80.386133951002 2
50.3938831609493 81.8033357755566 4
51.6266601177818 82.5156842394021 4
51.6316247557017 83.931793649146 4
52.8640831342165 84.6437397524386 4
52.8688794530955 86.0587112335941 4
54.100980670867 86.7702078340495 4
54.1055393902463 88.1840147066148 4
55.3372501662936 88.8950110238901 4
55.3415004572343 90.3076567565046 4
56.5727936644742 91.018102303881 4
56.5766646912826 92.4296370882965 4
57.807521040441 93.1394881371165 4
57.8109446966068 94.5500313105771 0
59.041355706387 95.2592607820103 0
59.0442713770424 96.6690280523545 0
60.2742441044962 97.3776398934509 0
60.2766063717338 98.7869697471634 0
61.5061703733678 99.4950173764568 0
61.5079602184705 100.904383140376 0
62.7371764049168 101.611987723834 0
62.7384142868787 103.021973339225 0
63.9673826453643 103.729332001672 0
63.9681374325754 105.140550990543 0
65.196995983892 105.847921604716 0
65.1973799394607 107.260881158061 0
66.4262841145177 107.96853463707 0
66.4264259380647 109.383483473241 0
67.6554999978136 110.091628012362 0
67.655499997767 111.508451907532 0
68.8847646744486 112.217152116613 0
68.8846534163485 113.635388141391 0
70.113963088591 114.344518837386 0
70.1136915458773 115.763525761508 0
71.3427233564894 116.472794056635 0
6.14339910538174 0.708357109903336 0
7.37063732721834 1.41664100870715 0
7.36891147456034 2.83523043823439 0
8.59436400979528 3.54258203043156 0
8.59208545071704 4.96064274920731 0
9.81559692411647 5.66703742993052 0
9.8129379366949 7.08475996870555 0
11.0347094757554 7.7904512337402 0
11.0319097452793 9.20815186870347 0
12.2523996321478 9.91354627478987 0
12.2496937869488 11.3315375361727 0
13.469461957975 12.0370599315721 0
13.4670270795437 13.4555791677545 0
14.6865999050136 14.161581604388 0
14.6845389779868 15.580774194039 0
15.9043360414622 16.2875003767079 0
15.9026880106293 17.7074340998904 0
17.1230065310319 18.4150242474175 4
17.1217666702293 19.8357124591172 4
18.3427982983931 20.5442252669644 4
18.3419373569793 21.9656471260324 4
19.56379456965 22.6750838353408 4
19.563272623628 24.0971985455292 4
20.7860130604671 24.8075227065062 4
20.785788207679 26.230278557064 4
22.0094332992969 26.9414304459096 4
22.0094668069681 28.3647702240394 4
23.2340148925975 29.0766767034253 4
23.2342741793978 30.5005408143742 4
24.4597092801182 31.2131217232323 2
24.4601694767443 32.6374497334695 2
25.6864666446855 33.3506220166558 2
25.687110670611 34.7753532913401 2
26.9142391034211 35.4890336812514 2
